REF_DATE,GEO,DGUID,Homicides,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2019,Canada,2016A000011124,Total number of homicide victims,Number,223,units,0,v91676060,1.1,691,,,,0
2020,Canada,2016A000011124,Total number of homicide victims,Number,223,units,0,v91676060,1.1,765,,,,0
2021,Canada,2016A000011124,Total number of homicide victims,Number,223,units,0,v91676060,1.1,801,,,,0
2022,Canada,2016A000011124,Total number of homicide victims,Number,223,units,0,v91676060,1.1,882,,,,0
2023,Canada,2016A000011124,Total number of homicide victims,Number,223,units,0,v91676060,1.1,778,,,,0
2019,Canada,2016A000011124,Number of homicide victims for which the status of the link between the homicide and organized crime or a street gang was reported as unknown,Number,223,units,0,v91873202,1.6,,..,,,0
2020,Canada,2016A000011124,Number of homicide victims for which the status of the link between the homicide and organized crime or a street gang was reported as unknown,Number,223,units,0,v91873202,1.6,,..,,,0
2021,Canada,2016A000011124,Number of homicide victims for which the status of the link between the homicide and organized crime or a street gang was reported as unknown,Number,223,units,0,v91873202,1.6,,..,,,0
2022,Canada,2016A000011124,Number of homicide victims for which the status of the link between the homicide and organized crime or a street gang was reported as unknown,Number,223,units,0,v91873202,1.6,,..,,,0
2023,Canada,2016A000011124,Number of homicide victims for which the status of the link between the homicide and organized crime or a street gang was reported as unknown,Number,223,units,0,v91873202,1.6,,..,,,0
2019,Canada,2016A000011124,Number of homicide victims for which the status of the link between the homicide and organized crime or a street gang was known,Number,223,units,0,v91676061,1.4,688,,,,0
2020,Canada,2016A000011124,Number of homicide victims for which the status of the link between the homicide and organized crime or a street gang was known,Number,223,units,0,v91676061,1.4,764,,,,0
2021,Canada,2016A000011124,Number of homicide victims for which the status of the link between the homicide and organized crime or a street gang was known,Number,223,units,0,v91676061,1.4,800,,,,0
2022,Canada,2016A000011124,Number of homicide victims for which the status of the link between the homicide and organized crime or a street gang was known,Number,223,units,0,v91676061,1.4,876,,,,0
2023,Canada,2016A000011124,Number of homicide victims for which the status of the link between the homicide and organized crime or a street gang was known,Number,223,units,0,v91676061,1.4,776,,,,0
2019,Canada,2016A000011124,Number of homicide victims where the homicide was linked or suspected to be linked to organized crime or a street gang,Number,223,units,0,v91872502,1.5,162,,,,0
2020,Canada,2016A000011124,Number of homicide victims where the homicide was linked or suspected to be linked to organized crime or a street gang,Number,223,units,0,v91872502,1.5,151,,,,0
2021,Canada,2016A000011124,Number of homicide victims where the homicide was linked or suspected to be linked to organized crime or a street gang,Number,223,units,0,v91872502,1.5,184,,,,0
2022,Canada,2016A000011124,Number of homicide victims where the homicide was linked or suspected to be linked to organized crime or a street gang,Number,223,units,0,v91872502,1.5,204,,,,0
2023,Canada,2016A000011124,Number of homicide victims where the homicide was linked or suspected to be linked to organized crime or a street gang,Number,223,units,0,v91872502,1.5,173,,,,0
2019,Canada,2016A000011124,Victims of homicides linked to organized crime or a street gang as a percentage of homicides for which the link between the homicide and organized crime or a street gang was known,Percent,239,units,0,v91676062,1.2,23.55,,,,2
2020,Canada,2016A000011124,Victims of homicides linked to organized crime or a street gang as a percentage of homicides for which the link between the homicide and organized crime or a street gang was known,Percent,239,units,0,v91676062,1.2,19.76,,,,2
2021,Canada,2016A000011124,Victims of homicides linked to organized crime or a street gang as a percentage of homicides for which the link between the homicide and organized crime or a street gang was known,Percent,239,units,0,v91676062,1.2,23,,,,2
2022,Canada,2016A000011124,Victims of homicides linked to organized crime or a street gang as a percentage of homicides for which the link between the homicide and organized crime or a street gang was known,Percent,239,units,0,v91676062,1.2,23.29,,,,2
2023,Canada,2016A000011124,Victims of homicides linked to organized crime or a street gang as a percentage of homicides for which the link between the homicide and organized crime or a street gang was known,Percent,239,units,0,v91676062,1.2,22.29,,,,2
2019,Canada,2016A000011124,"Rate of homicides (number of victims per 100,000 population) where the homicide was linked or suspected to be linked to organized crime or a street gang",Rate,257,units,0,v91676063,1.3,0.43,,,,2
2020,Canada,2016A000011124,"Rate of homicides (number of victims per 100,000 population) where the homicide was linked or suspected to be linked to organized crime or a street gang",Rate,257,units,0,v91676063,1.3,0.4,,,,2
2021,Canada,2016A000011124,"Rate of homicides (number of victims per 100,000 population) where the homicide was linked or suspected to be linked to organized crime or a street gang",Rate,257,units,0,v91676063,1.3,0.48,,,,2
2022,Canada,2016A000011124,"Rate of homicides (number of victims per 100,000 population) where the homicide was linked or suspected to be linked to organized crime or a street gang",Rate,257,units,0,v91676063,1.3,0.52,,,,2
2023,Canada,2016A000011124,"Rate of homicides (number of victims per 100,000 population) where the homicide was linked or suspected to be linked to organized crime or a street gang",Rate,257,units,0,v91676063,1.3,0.43,,,,2
2019,Atlantic Region,2016A00011,Total number of homicide victims,Number,223,units,0,v91676064,2.1,30,,,,0
2020,Atlantic Region,2016A00011,Total number of homicide victims,Number,223,units,0,v91676064,2.1,56,,,,0
2021,Atlantic Region,2016A00011,Total number of homicide victims,Number,223,units,0,v91676064,2.1,43,,,,0
2022,Atlantic Region,2016A00011,Total number of homicide victims,Number,223,units,0,v91676064,2.1,37,,,,0
2023,Atlantic Region,2016A00011,Total number of homicide victims,Number,223,units,0,v91676064,2.1,32,,,,0
2019,Atlantic Region,2016A00011,Number of homicide victims for which the status of the link between the homicide and organized crime or a street gang was reported as unknown,Number,223,units,0,v91873203,2.6,,..,,,0
2020,Atlantic Region,2016A00011,Number of homicide victims for which the status of the link between the homicide and organized crime or a street gang was reported as unknown,Number,223,units,0,v91873203,2.6,,..,,,0
2021,Atlantic Region,2016A00011,Number of homicide victims for which the status of the link between the homicide and organized crime or a street gang was reported as unknown,Number,223,units,0,v91873203,2.6,,..,,,0
2022,Atlantic Region,2016A00011,Number of homicide victims for which the status of the link between the homicide and organized crime or a street gang was reported as unknown,Number,223,units,0,v91873203,2.6,,..,,,0
2023,Atlantic Region,2016A00011,Number of homicide victims for which the status of the link between the homicide and organized crime or a street gang was reported as unknown,Number,223,units,0,v91873203,2.6,,..,,,0
2019,Atlantic Region,2016A00011,Number of homicide victims for which the status of the link between the homicide and organized crime or a street gang was known,Number,223,units,0,v91676065,2.4,30,,,,0
2020,Atlantic Region,2016A00011,Number of homicide victims for which the status of the link between the homicide and organized crime or a street gang was known,Number,223,units,0,v91676065,2.4,56,,,,0
2021,Atlantic Region,2016A00011,Number of homicide victims for which the status of the link between the homicide and organized crime or a street gang was known,Number,223,units,0,v91676065,2.4,43,,,,0
2022,Atlantic Region,2016A00011,Number of homicide victims for which the status of the link between the homicide and organized crime or a street gang was known,Number,223,units,0,v91676065,2.4,37,,,,0
2023,Atlantic Region,2016A00011,Number of homicide victims for which the status of the link between the homicide and organized crime or a street gang was known,Number,223,units,0,v91676065,2.4,32,,,,0
2019,Atlantic Region,2016A00011,Number of homicide victims where the homicide was linked or suspected to be linked to organized crime or a street gang,Number,223,units,0,v91872503,2.5,4,,,,0
2020,Atlantic Region,2016A00011,Number of homicide victims where the homicide was linked or suspected to be linked to organized crime or a street gang,Number,223,units,0,v91872503,2.5,1,,,,0
2021,Atlantic Region,2016A00011,Number of homicide victims where the homicide was linked or suspected to be linked to organized crime or a street gang,Number,223,units,0,v91872503,2.5,7,,,,0
2022,Atlantic Region,2016A00011,Number of homicide victims where the homicide was linked or suspected to be linked to organized crime or a street gang,Number,223,units,0,v91872503,2.5,3,,,,0
2023,Atlantic Region,2016A00011,Number of homicide victims where the homicide was linked or suspected to be linked to organized crime or a street gang,Number,223,units,0,v91872503,2.5,1,,,,0
2019,Atlantic Region,2016A00011,Victims of homicides linked to organized crime or a street gang as a percentage of homicides for which the link between the homicide and organized crime or a street gang was known,Percent,239,units,0,v91676066,2.2,13.33,,,,2
2020,Atlantic Region,2016A00011,Victims of homicides linked to organized crime or a street gang as a percentage of homicides for which the link between the homicide and organized crime or a street gang was known,Percent,239,units,0,v91676066,2.2,1.79,,,,2
2021,Atlantic Region,2016A00011,Victims of homicides linked to organized crime or a street gang as a percentage of homicides for which the link between the homicide and organized crime or a street gang was known,Percent,239,units,0,v91676066,2.2,16.28,,,,2
2022,Atlantic Region,2016A00011,Victims of homicides linked to organized crime or a street gang as a percentage of homicides for which the link between the homicide and organized crime or a street gang was known,Percent,239,units,0,v91676066,2.2,8.11,,,,2
