date,hour,metric,price
2015-01-01,0,Avg. Price,37.45
2015-01-01,1,Avg. Price,34.62
2015-01-01,2,Avg. Price,22.8
2015-01-01,3,Avg. Price,21.05
2015-01-01,4,Avg. Price,20.79
2015-01-01,5,Avg. Price,20.2
2015-01-01,6,Avg. Price,19.83
2015-01-01,7,Avg. Price,19.43
2015-01-01,8,Avg. Price,17.87
2015-01-01,9,Avg. Price,20.14
2015-01-01,10,Avg. Price,24.74
2015-01-01,11,Avg. Price,28.37
2015-01-01,12,Avg. Price,29.35
2015-01-01,13,Avg. Price,30.59
2015-01-01,14,Avg. Price,32.47
2015-01-01,15,Avg. Price,31.76
2015-01-01,16,Avg. Price,37.12
2015-01-01,17,Avg. Price,45.04
2015-01-01,18,Avg. Price,39.75
2015-01-01,19,Avg. Price,32.06
2015-01-01,20,Avg. Price,27.91
2015-01-01,21,Avg. Price,26.43
2015-01-01,22,Avg. Price,21.55
2015-01-01,23,Avg. Price,20.63
2015-01-02,0,Avg. Price,18.49
2015-01-02,1,Avg. Price,18.51
2015-01-02,2,Avg. Price,16.92
2015-01-02,3,Avg. Price,13.22
2015-01-02,4,Avg. Price,12.27
2015-01-02,5,Avg. Price,12.19
2015-01-02,6,Avg. Price,12.1
2015-01-02,7,Avg. Price,12.27
2015-01-02,8,Avg. Price,19.91
2015-01-02,9,Avg. Price,21.56
2015-01-02,10,Avg. Price,25.92
2015-01-02,11,Avg. Price,28.1
2015-01-02,12,Avg. Price,26.61
2015-01-02,13,Avg. Price,25.84
2015-01-02,14,Avg. Price,25.64
2015-01-02,15,Avg. Price,23.15
2015-01-02,16,Avg. Price,20.4
2015-01-02,17,Avg. Price,24.56
2015-01-02,18,Avg. Price,27.12
2015-01-02,19,Avg. Price,35.8
2015-01-02,20,Avg. Price,48.73
2015-01-02,21,Avg. Price,50.55
2015-01-02,22,Avg. Price,44
2015-01-02,23,Avg. Price,36.69
2015-01-03,0,Avg. Price,35.41
2015-01-03,1,Avg. Price,34.25
2015-01-03,2,Avg. Price,32.45
2015-01-03,3,Avg. Price,32.62
2015-01-03,4,Avg. Price,33.6
2015-01-03,5,Avg. Price,28.51
2015-01-03,6,Avg. Price,28.75
2015-01-03,7,Avg. Price,29.03
2015-01-03,8,Avg. Price,35
2015-01-03,9,Avg. Price,39.8
2015-01-03,10,Avg. Price,39.8
2015-01-03,11,Avg. Price,39.78
2015-01-03,12,Avg. Price,39.79
2015-01-03,13,Avg. Price,36.5
2015-01-03,14,Avg. Price,29.22
2015-01-03,15,Avg. Price,37.44
